Step,AgentID,Speed,VehicleType,Position
3,1,0.0,Car,"(264345061, 236160006)"
4,1,3.6,Car,"(264345061, 236160006)"
4,2,0.0,Bus,"(495649052, 495649040)"
5,1,7.2,Car,"(264345061, 236160006)"
5,2,3.6,Bus,"(495649052, 495649040)"
6,1,10.8,Car,236160006
6,2,7.2,Bus,"(495649052, 495649040)"
7,1,7.2,Car,"(236160006, 236160072)"
7,2,10.8,Bus,"(495649052, 495649040)"
8,1,10.8,Car,"(236160006, 236160072)"
8,2,14.4,Bus,"(495649052, 495649040)"
9,1,14.4,Car,"(236160006, 236160072)"
9,2,18.0,Bus,"(495649052, 495649040)"
10,1,18.0,Car,"(236160006, 236160072)"
10,2,14.4,Bus,"(495649052, 495649040)"
11,1,21.6,Car,"(236160006, 236160072)"
11,2,10.8,Bus,"(495649052, 495649040)"
12,1,25.2,Car,"(236160006, 236160072)"
12,2,7.2,Bus,"(495649052, 495649040)"
13,1,25.2,Car,"(236160006, 236160072)"
13,2,10.8,Bus,495649040
14,1,25.2,Car,"(236160006, 236160072)"
14,2,7.2,Bus,"(495649040, 273461469)"
14,3,0.0,Truck,"(236160072, 236160006)"
15,1,25.2,Car,"(236160006, 236160072)"
15,2,10.8,Bus,"(495649040, 273461469)"
15,3,3.6,Truck,"(236160072, 236160006)"
16,1,25.2,Car,"(236160006, 236160072)"
16,2,14.4,Bus,"(495649040, 273461469)"
16,3,7.2,Truck,"(236160072, 236160006)"
17,1,25.2,Car,"(236160006, 236160072)"
17,2,18.0,Bus,"(495649040, 273461469)"
17,3,10.8,Truck,"(236160072, 236160006)"
18,1,25.2,Car,"(236160006, 236160072)"
18,2,21.6,Bus,"(495649040, 273461469)"
18,3,14.4,Truck,"(236160072, 236160006)"
19,1,25.2,Car,"(236160006, 236160072)"
19,2,25.2,Bus,"(495649040, 273461469)"
19,3,18.0,Truck,"(236160072, 236160006)"
20,1,25.2,Car,"(236160006, 236160072)"
20,2,25.2,Bus,"(495649040, 273461469)"
20,3,21.6,Truck,"(236160072, 236160006)"
21,1,25.2,Car,"(236160006, 236160072)"
21,2,21.6,Bus,"(495649040, 273461469)"
